path_image,class
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_16.47_C09_330.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_11.47_C09_218.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_07.47_C09_220.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_08.47_C09_219.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_10.47_C09_255.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_13.47_C09_329.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_14.47_C09_219.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-22/camera9/S_2015-11-22_11.17_C09_331.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_11.47_C09_218.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-22/camera9/S_2015-11-22_13.17_C09_331.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_09.17_C09_290.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_07.17_C09_259.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_13.47_C09_294.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_07.47_C09_219.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_07.47_C09_253.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_11.47_C09_329.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_10.17_C09_616.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_09.47_C09_291.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_12.47_C09_218.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_07.47_C09_219.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_17.17_C09_219.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_13.17_C09_254.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_12.17_C09_329.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_17.17_C09_220.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_08.47_C09_255.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-22/camera9/S_2015-11-22_14.17_C09_294.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_12.17_C09_218.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_08.47_C09_218.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_08.47_C09_218.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_16.47_C09_217.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_12.47_C09_293.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-22/camera9/S_2015-11-22_07.17_C09_217.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_16.47_C09_618.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_17.47_C09_291.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_09.17_C09_220.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_08.47_C09_330.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_12.17_C09_291.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_12.17_C09_294.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_07.17_C09_296.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_14.47_C09_292.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_16.47_C09_328.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_11.17_C09_617.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_13.47_C09_292.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_09.47_C09_256.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_15.47_C09_218.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_07.17_C09_616.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_10.47_C09_616.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_14.17_C09_329.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_12.47_C09_254.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_09.47_C09_327.jpg,1
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-27/camera9/S_2015-11-27_12.17_C09_325.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/OVERCAST/2015-11-20/camera9/O_2015-11-20_14.47_C09_327.jpg,0
/home/lucas.ocunha/DeepLearning/datasets/CNR/PATCHES/SUNNY/2015-11-12/camera9/S_2015-11-12_08.17_C09_254.jpg,1
